image_name,algorithm,jpeg90,noise_sigma2,blur,median,bilateral,non_local_means,gamma09,salt_and_pepper,speckle,histogram,motion_blur
img_51.jpg,acme,0.44565217391304346,0.5706521739130435,0.4891304347826087,0.17391304347826086,0.5,0.4945652173913043,0.17391304347826086,0.09782608695652174,0.5,0.3532608695652174,0.5054347826086957
img_51.jpg,lsb,0.5257352941176471,0.4609375,0.47435897435897434,0.48161764705882354,0.49324324324324326,0.48355263157894735,0.0,0.49537037037037035,0.48828125,0.45564516129032256,0.475
img_52.jpg,acme,0.5,0.45652173913043476,0.4782608695652174,0.20652173913043478,0.5108695652173914,0.5,0.29891304347826086,0.08152173913043478,0.5217391304347826,0.44565217391304346,0.4945652173913043
img_52.jpg,lsb,0.5,0.49193548387096775,0.5098684210526315,0.515625,0.5036764705882353,0.45454545454545453,0.5034722222222222,0.175,0.5427631578947368,0.5036764705882353,0.49166666666666664
img_53.jpg,acme,0.46195652173913043,0.5163043478260869,0.5380434782608695,0.15217391304347827,0.5489130434782609,0.5,0.34782608695652173,0.05434782608695652,0.5597826086956522,0.5434782608695652,0.4782608695652174
img_53.jpg,lsb,0.4857142857142857,0.5036764705882353,0.46959459459459457,0.5107142857142857,0.5347222222222222,0.506578947368421,0.4921875,0.02717391304347826,0.4797297297297297,0.5071428571428571,0.47413793103448276
img_54.jpg,acme,0.5054347826086957,0.3695652173913043,0.44565217391304346,0.14130434782608695,0.4945652173913043,0.4891304347826087,0.22282608695652173,0.11956521739130435,0.5543478260869565,0.5,0.5054347826086957
img_54.jpg,lsb,0.5036764705882353,0.5125,0.5147058823529411,0.4637096774193548,0.5265151515151515,0.4827586206896552,0.40384615384615385,0.38461538461538464,0.5821428571428572,0.50390625,0.5104166666666666
img_55.jpg,acme,0.46195652173913043,0.483695652173913,0.44565217391304346,0.059782608695652176,0.5815217391304348,0.45108695652173914,0.40217391304347827,0.09782608695652174,0.45652173913043476,0.47282608695652173,0.5
img_55.jpg,lsb,0.5107142857142857,0.42424242424242425,0.44485294117647056,0.48717948717948717,0.4756944444444444,0.5107142857142857,0.4963235294117647,0.395,0.4742647058823529,0.5,0.5303030303030303
img_56.jpg,acme,0.45652173913043476,0.5163043478260869,0.41304347826086957,0.2608695652173913,0.6032608695652174,0.4945652173913043,0.24456521739130435,0.11413043478260869,0.4673913043478261,0.391304347826087,0.5543478260869565
