Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_310.jpg,phase1,104.0446,1.0,0.0,0.0,83665.71549435367,83665.89495206968,more detectable by 0.179457716003526,18358.215072735085,18358.0993451716,less detectable by 0.11572756348687108,59072.81993235632,59072.38897968945,less detectable by 0.43095266686577816,0.9999719,0.14814553192039437,0.0255742355245169,0.487343220106793,0.00015879860004802682,0.00032126502381912836
img_310.jpg,phase2,95.4131,1.0,0.0,0.0,83665.71549435367,83671.11525952177,more detectable by 5.399765168098384,18358.215072735085,18364.556371230836,more detectable by 6.3412984957503795,59072.81993235632,59063.15274430049,less detectable by 9.667188055827864,0.9999719,0.14815053386284482,0.025574431798575083,0.48735319009029304,0.0001588664558552222,0.00032169271166937463
img_310.jpg,phase3,104.845,1.0,0.0,0.0,83665.71549435367,83665.41856545841,less detectable by 0.2969288952590432,18358.215072735085,18357.684605949627,less detectable by 0.5304667854579748,59072.81993235632,59071.964637008794,less detectable by 0.8552953475227696,0.999972,0.14814586779683303,0.0255741193450873,0.487347101550751,0.00015879732458795592,0.00032125924572579123
img_310.jpg,phase4_1,104.1755,1.0,0.0,-0.0,83665.71549435367,83665.98327250306,more detectable by 0.2677781493839575,18358.215072735085,18357.909708784715,less detectable by 0.3053639503705199,59072.81993235632,59073.00002551517,more detectable by 0.18009315885137767,0.9999719,0.1481294615381712,0.025574289509063073,0.48734405728098,0.0001588126162672121,0.0003212693114180709
img_310.jpg,phase4_2,101.4396,1.0,0.0,-0.0,83665.71549435367,83665.57348077085,less detectable by 0.14201358282298315,18358.215072735085,18357.71111049605,less detectable by 0.5039622390359,59072.81993235632,59073.57380765557,more detectable by 0.7538752992550144,0.9999719,0.14814637936038633,0.025574320677041386,0.48734611216307544,0.00015879943762153736,0.0003212741826408294
img_310.jpg,phase4_3,101.3927,1.0,0.0,-0.0,83665.71549435367,83666.34296041803,more detectable by 0.6274660643539391,18358.215072735085,18357.659983909783,less detectable by 0.5550888253019366,59072.81993235632,59072.81993235632,equal,0.999972,0.14814666355957407,0.025574311831919622,0.4873447422416785,0.00015881505945625207,0.0003213537378066178
img_310.jpg,phase4_4,101.5351,1.0,0.0,0.0,83665.71549435367,83664.15419371826,less detectable by 1.5613006354105892,18358.215072735085,18358.069652053742,less detectable by 0.14542068134323927,59072.81993235632,59073.66981028317,more detectable by 0.8498779268556973,0.99997187,0.14813610672316013,0.025574256968695315,0.48734146965167463,0.00015881920666044325,0.00032123975620912404
img_310.jpg,phase4_5,102.5649,1.0,0.0,0.0,83665.71549435367,83665.65488142507,less detectable by 0.06061292860249523,18358.215072735085,18357.393278474796,less detectable by 0.8217942602896073,59072.81993235632,59073.73486027597,more detectable by 0.9149279196499265,0.9999719,0.1481309187254416,0.02557427935212657,0.4873431440000487,0.00015883884014911143,0.0003212783865527147
img_311.jpg,phase1,99.4395,1.0,0.0,-0.0,159361.66469967033,159361.6635987187,less detectable by 0.0011009516310878098,189960.56153332378,189960.88245217397,more detectable by 0.3209188501932658,129105.65439136121,129105.61751816898,less detectable by 0.036873192235361785,0.99998057,0.014706703213281713,0.025721447628984873,0.712149459796832,0.0011723204447106061,0.0033661677171825666
img_311.jpg,phase2,90.733,1.0,0.0001,0.0,159361.66469967033,159352.86743292192,less detectable by 8.797266748413676,189960.56153332378,189936.05155708373,less detectable by 24.509976240049582,129105.65439136121,129087.27221472497,less detectable by 18.382176636238,0.9999805,0.014716715510054712,0.025723084906132215,0.7121539435548668,0.001172555037078138,0.003366664490785265
img_311.jpg,phase3,99.2256,1.0,0.0,0.0,159361.66469967033,159358.62103956117,less detectable by 3.0436601091641933,189960.56153332378,189947.14241982327,less detectable by 13.419113500509411,129105.65439136121,129098.94410184691,less detectable by 6.71028951430344,0.9999805,0.014703014971662043,0.025721538473878685,0.7121539435548668,0.0011722258242968797,0.0033659293848415928
img_311.jpg,phase4_1,99.9511,1.0,0.0,-0.0,159361.66469967033,159361.4891112338,less detectable by 0.17558843654114753,189960.56153332378,189960.49552090088,less detectable by 0.06601242290344089,129105.65439136121,129105.36826563689,less detectable by 0.2861257243202999,0.99998057,0.014709338906598646,0.025721491007346997,0.7121530468032599,0.0011722774448956752,0.003366097080602426
img_311.jpg,phase4_2,96.9408,1.0,0.0,-0.0,159361.66469967033,159361.29173501185,less detectable by 0.3729646584833972,189960.56153332378,189959.46597594046,less detectable by 1.0955573833198287,129105.65439136121,129105.09045466669,less detectable by 0.5639366945251822,0.99998057,0.014710165894111782,0.025721448930840152,0.7121539435548668,0.0011722695017253315,0.0033660507362327508
img_311.jpg,phase4_3,96.8432,1.0,0.0,-0.0,159361.66469967033,159361.2972532939,less detectable by 0.367446376447333,189960.56153332378,189959.6131913297,less detectable by 0.9483419940806925,129105.65439136121,129105.65439136121,equal,0.99998057,0.014697765667168738,0.025721625862283198,0.7121508049242424,0.0011722483036519238,0.00336604634876414
img_311.jpg,phase4_4,97.0406,1.0,0.0,-0.0,159361.66469967033,159361.91317484505,more detectable by 0.2484751747106202,189960.56153332378,189960.2405745895,less detectable by 0.32095873428625055,129105.65439136121,129105.74963825535,more detectable by 0.09524689413956366,0.9999807,0.014704408001431801,0.025721553965147102,0.7121517016758494,0.0011722289482518633,0.003365933405840682
img_311.jpg,phase4_5,97.635,1.0,0.0,-0.0,159361.66469967033,159361.9414753081,more detectable by 0.27677563775796443,189960.56153332378,189960.78646673128,more detectable by 0.22493340750224888,129105.65439136121,129105.34311821793,less detectable by 0.31127314327750355,0.9999806,0.014697916019908774,0.025721489736860583,0.7121575305612947,0.0011721732324360135,0.003365790992378326
img_312.jpg,phase1,90.5236,1.0,0.0001,-0.0,9462.166170825833,9464.78583425665,more detectable by 2.6196634308180364,2541.5035708011187,2539.461691026862,less detectable by 2.041879774256813,1852.1905237832011,1848.9986252828323,less detectable by 3.1918985003687794,0.9999742,-0.06180034166248305,0.03165340681323554,0.5300958333333333,0.0008290547953508642,0.00018266325034610453
img_312.jpg,phase2,81.1896,1.0,0.0005,0.0,9462.166170825833,9443.293249436492,less detectable by 18.872921389340263,2541.5035708011187,2504.174029861488,less detectable by 37.32954093963053,1852.1905237832011,1838.2382790979748,less detectable by 13.952244685226333,0.99997395,-0.06174023009096885,0.03167284548348157,0.5304833333333333,0.0008243689125586873,0.00018073902957715937
img_312.jpg,phase3,90.3694,1.0,0.0001,0.0,9462.166170825833,9458.95091556933,less detectable by 3.2152552565021324,2541.5035708011187,2541.0772689079704,less detectable by 0.42630189314832023,1852.1905237832011,1851.5761657553558,less detectable by 0.6143580278453555,0.9999742,-0.06181405725308764,0.03166053252635901,0.5301125,0.000829427992153825,0.00018291791520064216
img_312.jpg,phase4_1,89.8022,1.0,0.0001,0.0,9462.166170825833,9461.466607212997,less detectable by 0.6995636128358456,2541.5035708011187,2539.2021487878915,less detectable by 2.3014220132272385,1852.1905237832011,1853.1525920158274,more detectable by 0.9620682326262795,0.99997437,-0.06189914875672997,0.03165931047040398,0.5300708333333334,0.0008300402750702762,0.00018314315722967045
img_312.jpg,phase4_2,86.8814,1.0,0.0001,0.0,9462.166170825833,9462.699854575538,more detectable by 0.5336837497052329,2541.5035708011187,2541.168563419689,less detectable by 0.33500738142993214,1852.1905237832011,1843.6027028357562,less detectable by 8.587820947444925,0.9999742,-0.06178550239274472,0.03166226101354263,0.5301520833333333,0.0008289882260667791,0.00018311922106728495
img_312.jpg,phase4_3,86.8364,1.0,0.0001,-0.0,9462.166170825833,9457.590610236426,less detectable by 4.57556058940645,2541.5035708011187,2539.4316902572,less detectable by 2.0718805439187236,1852.1905237832011,1852.1905237832011,equal,0.9999742,-0.06179175124304237,0.0316569922259061,0.5301395833333333,0.0008293115507883309,0.00018306295322201294
img_312.jpg,phase4_4,87.5133,1.0,0.0001,0.0,9462.166170825833,9458.941162916459,less detectable by 3.225007909373744,2541.5035708011187,2540.256764380501,less detectable by 1.2468064206177587,1852.1905237832011,1849.634249847214,less detectable by 2.5562739359870648,0.99997437,-0.06166784761955313,0.031659367278618275,0.5300875,0.0008300765919742048,0.0001837626875951237
img_312.jpg,phase4_5,87.9535,1.0,0.0001,0.0,9462.166170825833,9461.477039459447,less detectable by 0.6891313663854817,2541.5035708011187,2541.972273814533,more detectable by 0.46870301341414233,1852.1905237832011,1852.5159144559734,more detectable by 0.3253906727723006,0.99997437,-0.06199084294927104,0.03166404522105329,0.5301125,0.0008301648548347529,0.00018246033144175833
img_313.jpg,phase1,92.0647,1.0,0.0,0.0,238.89681456964263,238.97522470303193,more detectable by 0.0784101333892977,302.9283532775126,302.69450015091275,less detectable by 0.23385312659985402,263.80851775536183,263.89267639760334,more detectable by 0.08415864224150482,0.99994683,0.055397099499593594,0.008152162692051086,0.728866516677675,0.000597788789818865,0.00024685506698229887
img_313.jpg,phase2,83.1272,1.0,0.0003,-0.0,238.89681456964263,243.2814526070002,more detectable by 4.3846380373575755,302.9283532775126,307.4859040091901,more detectable by 4.557550731677509,263.80851775536183,266.5523663235047,more detectable by 2.74384856814288,0.9999469,0.0553250251411157,0.008158997852578532,0.7289284387384413,0.0005923683969705634,0.00023715595411655244
img_313.jpg,phase3,92.1111,1.0,0.0,-0.0,238.89681456964263,239.07902417710648,more detectable by 0.18220960746384662,302.9283532775126,303.08347114447025,more detectable by 0.15511786695765295,263.80851775536183,263.20878122609395,less detectable by 0.5997365292678865,0.9999471,0.055389674434998426,0.00815328141476024,0.7288807071499339,0.0005983790042496245,0.00024683647722989477
img_313.jpg,phase4_1,92.0647,1.0,0.0,0.0,238.89681456964263,238.78471154536908,less detectable by 0.11210302427355145,302.9283532775126,302.7379355241138,less detectable by 0.1904177533987763,263.80851775536183,263.9125404887611,more detectable by 0.10402273339929025,0.9999468,0.05542788925169617,0.008160188456321766,0.7288832872357992,0.0005986264745177078,0.0002472435245688409
img_313.jpg,phase4_2,89.0544,1.0,0.0001,-0.0,238.89681456964263,240.63353468288673,more detectable by 1.736720113244104,302.9283532775126,303.45072714991113,more detectable by 0.5223738723985321,263.80851775536183,264.4063162152218,more detectable by 0.5977984598599733,0.99994683,0.055392569836094196,0.00815511604431858,0.7288587764200792,0.0005972408575692506,0.0002469328689218564
img_313.jpg,phase4_3,89.3408,1.0,0.0001,-0.0,238.89681456964263,240.16580868033805,more detectable by 1.2689941106954166,302.9283532775126,303.4622979675692,more detectable by 0.5339446900566145,263.80851775536183,263.80851775536183,equal,0.9999469,0.055375037170442454,0.008163403583390754,0.7288626465488771,0.0005969561350036845,0.00024386890382244175
img_313.jpg,phase4_4,89.8647,1.0,0.0001,0.0,238.89681456964263,239.4380192599054,more detectable by 0.5412046902627594,302.9283532775126,302.83004929381076,less detectable by 0.09830398370183957,263.80851775536183,263.7485463635508,less detectable by 0.05997139181101829,0.99994683,0.05534939921665227,0.008152170807667143,0.7288961876651255,0.0005976230803039217,0.0002472539359335002
img_313.jpg,phase4_5,90.6565,1.0,0.0001,0.0,238.89681456964263,238.81013459679863,less detectable by 0.08667997284399576,302.9283532775126,302.5256338104793,less detectable by 0.4027194670333074,263.80851775536183,263.85021483202985,more detectable by 0.04169707666801514,0.99994683,0.05545148139760414,0.008146804462268498,0.7288858673216645,0.0005984264624757096,0.0002467338212026604
img_314.jpg,phase1,103.4637,1.0,0.0,0.0,19579.239530281266,19579.82256830312,more detectable by 0.5830380218540085,15703.710216467007,15704.619162995348,more detectable by 0.9089465283414029,16270.200255580778,16274.250482519918,more detectable by 4.050226939139975,0.9999242,0.15550756527660692,0.020103716236108144,0.5902832348471059,0.0035312341946868164,0.0014920180013922035
img_314.jpg,phase2,94.5369,1.0,0.0,-0.0,19579.239530281266,19565.538170057698,less detectable by 13.701360223567463,15703.710216467007,15692.054592069466,less detectable by 11.655624397541033,16270.200255580778,16270.079432015878,less detectable by 0.12082356489918311,0.9999242,0.15552504743010154,0.020104237590113757,0.5902909117412454,0.0035307079095820426,0.0014906678078232538
img_314.jpg,phase3,104.0502,1.0,0.0,0.0,19579.239530281266,19578.597239134055,less detectable by 0.6422911472109263,15703.710216467007,15703.26559215999,less detectable by 0.44462430701605626,16270.200255580778,16270.494827648137,more detectable by 0.2945720673596952,0.9999242,0.15550879324333433,0.020103415112212385,0.5902845297449125,0.00353095332633796,0.0014914221338679923
img_314.jpg,phase4_1,103.5097,1.0,0.0,-0.0,19579.239530281266,19578.43527856836,less detectable by 0.8042517129069893,15703.710216467007,15705.04826484738,more detectable by 1.338048380373948,16270.200255580778,16271.264245501417,more detectable by 1.0639899206398695,0.9999242,0.15550446405932483,0.020103503950440145,0.5902823099201011,0.0035309741830600316,0.0014913981014701427
img_314.jpg,phase4_2,100.7367,1.0,0.0,0.0,19579.239530281266,19578.776773707898,less detectable by 0.4627565733680967,15703.710216467007,15702.860575563527,less detectable by 0.849640903479667,16270.200255580778,16266.48882686764,less detectable by 3.7114287131371384,0.99992406,0.15551005250016559,0.02010362527670071,0.590284437252212,0.003531636455939624,0.0014931471204064906
img_314.jpg,phase4_3,100.7858,1.0,0.0,-0.0,19579.239530281266,19578.73743164952,less detectable by 0.5020986317467759,15703.710216467007,15703.676275874908,less detectable by 0.03394059209858824,16270.200255580778,16270.200255580778,equal,0.9999242,0.1555165856603793,0.020103120509982933,0.5902873970186273,0.003531443152771596,0.0014926638586101326
img_314.jpg,phase4_4,100.4534,1.0,0.0,0.0,19579.239530281266,19577.800755272947,less detectable by 1.4387750083187711,15703.710216467007,15702.171330867863,less detectable by 1.5388855991441233,16270.200255580778,16271.759237805662,more detectable by 1.5589822248839482,0.9999242,0.15550830522638837,0.020103516483304586,0.5902791651682849,0.00353104209992694,0.0014914627172308847
img_314.jpg,phase4_5,101.6573,1.0,0.0,0.0,19579.239530281266,19579.53014392894,more detectable by 0.29061364767403575,15703.710216467007,15704.42876640455,more detectable by 0.7185499375427753,16270.200255580778,16271.390180860177,more detectable by 1.1899252793991764,0.9999242,0.15551272886239254,0.020103597822230795,0.5902836048179078,0.00353110522686384,0.0014917050079374938
img_315.jpg,phase1,102.9356,1.0,0.0,0.0,12814.89497269593,12814.275295377753,less detectable by 0.6196773181782191,18866.452843590112,18866.917597297874,more detectable by 0.46475370776170166,59048.920225856,59048.637241687604,less detectable by 0.2829841683997074,0.99996716,0.07576719008381261,0.01677142149338088,0.5968291760338871,0.00022724781941718675,0.0012095858292986428
