Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_401.jpg,phase1,102.6334,1.0,0.0,0.0,93139.19988789773,93137.37948485656,less detectable by 1.8204030411725398,87722.94822345964,87721.24051248743,less detectable by 1.707710972201312,104028.16616902944,104022.73762089387,less detectable by 5.4285481355764205,0.9999674,0.16573634500826806,0.04166281972748138,0.5325515827245931,0.0011299138228177963,0.002113229109441228
img_401.jpg,phase2,93.2589,1.0,0.0,0.0,93139.19988789773,93126.87837657589,less detectable by 12.321511321846629,87722.94822345964,87722.80193025847,less detectable by 0.14629320116364397,104028.16616902944,104015.10814143594,less detectable by 13.058027593506267,0.9999674,0.16575159316016919,0.04166241393164979,0.5325584660947712,0.0011300113743868412,0.00211328101387398
img_401.jpg,phase3,102.2898,1.0,0.0,0.0,93139.19988789773,93135.84163629322,less detectable by 3.358251604513498,87722.94822345964,87721.99890342103,less detectable by 0.949320038605947,104028.16616902944,104027.4073108738,less detectable by 0.7588581556483405,0.99996734,0.16573729097713397,0.041662865607747034,0.5325555875945149,0.0011299210476625188,0.002113173656797862
img_401.jpg,phase4_1,102.2898,1.0,0.0,-0.0,93139.19988789773,93138.45060166086,less detectable by 0.7492862368671922,87722.94822345964,87723.21439612786,more detectable by 0.2661726682272274,104028.16616902944,104031.15832735057,more detectable by 2.9921583211253164,0.9999674,0.1657337796683933,0.04166265526413845,0.5325520833333334,0.0011299065472323289,0.002113218487826529
img_401.jpg,phase4_2,99.1401,1.0,0.0,0.0,93139.19988789773,93135.08924104419,less detectable by 4.110646853543585,87722.94822345964,87725.35073740353,more detectable by 2.402513943889062,104028.16616902944,104014.19256152117,less detectable by 13.973607508276473,0.9999674,0.16574256595396442,0.04166281902531283,0.5325544612248494,0.0011299174458179184,0.0021132397435135175
img_401.jpg,phase4_3,99.1861,1.0,0.0,0.0,93139.19988789773,93134.63707617423,less detectable by 4.5628117235028185,87722.94822345964,87725.72296943238,more detectable by 2.7747459727397654,104028.16616902944,104028.16616902944,equal,0.9999674,0.16574436179509267,0.04166254629973289,0.5325530845508137,0.0011299347519719838,0.002113234403480213
img_401.jpg,phase4_4,99.0946,1.0,0.0,0.0,93139.19988789773,93131.60961524842,less detectable by 7.590272649307735,87722.94822345964,87722.64846925378,less detectable by 0.2997542058583349,104028.16616902944,104022.21603677499,less detectable by 5.95013225445291,0.9999674,0.16574869069462572,0.04166240515124623,0.5325540857682942,0.0011299592743623244,0.002113372319013429
img_401.jpg,phase4_5,100.6566,1.0,0.0,-0.0,93139.19988789773,93134.79935846096,less detectable by 4.400529436767101,87722.94822345964,87723.62984575775,more detectable by 0.6816222981142346,104028.16616902944,104027.41312095168,less detectable by 0.753048077764106,0.9999674,0.16572516974027351,0.04166275014776538,0.5325510821158529,0.0011298905296890371,0.0021131633225524027
img_402.jpg,phase1,95.7942,1.0,0.0,-0.0,11841.633799478423,11841.730739425398,more detectable by 0.09693994697590824,13771.577220778676,13771.9443357878,more detectable by 0.36711500912497286,13002.610035341038,13002.427802674869,less detectable by 0.1822326661695115,0.99997467,0.022816009353277877,0.021207511307214065,0.5538397502601456,0.0006240644800461492,0.0008265902183612894
img_402.jpg,phase2,86.2763,1.0,0.0002,0.0,11841.633799478423,11837.008788352938,less detectable by 4.625011125484889,13771.577220778676,13768.863499248659,less detectable by 2.71372153001721,13002.610035341038,12998.997401307282,less detectable by 3.612634033755967,0.99997467,0.02283835181258098,0.021206081823424677,0.5539002341311134,0.0006248481533039918,0.0008287574607095394
img_402.jpg,phase3,94.7704,1.0,0.0,-0.0,11841.633799478423,11840.981425067952,less detectable by 0.6523744104706566,13771.577220778676,13771.840153233323,more detectable by 0.26293245464694337,13002.610035341038,13003.191100931705,more detectable by 0.581065590666185,0.99997467,0.02281548388636878,0.0212077717651297,0.5538462539021852,0.0006238015179854117,0.0008262278041466509
img_402.jpg,phase4_1,94.7272,1.0,0.0,0.0,11841.633799478423,11841.117860115406,less detectable by 0.5159393630165141,13771.577220778676,13770.420150253822,less detectable by 1.1570705248541344,13002.610035341038,13003.175313770258,more detectable by 0.5652784292196884,0.9999748,0.022683197923882403,0.021206830470953845,0.5538267429760666,0.0006240337510642346,0.0008265005583845131
img_402.jpg,phase4_2,92.365,1.0,0.0,0.0,11841.633799478423,11841.472866903307,less detectable by 0.16093257511602133,13771.577220778676,13771.89319859312,more detectable by 0.31597781444361317,13002.610035341038,13002.247751560379,less detectable by 0.362283780659709,0.9999748,0.022818675387526355,0.021207018995258904,0.553850156087409,0.0006237010227912454,0.0008259274165705044
img_402.jpg,phase4_3,91.8479,1.0,0.0,0.0,11841.633799478423,11841.082690415486,less detectable by 0.5511090629370301,13771.577220778676,13772.143042693018,more detectable by 0.5658219143424503,13002.610035341038,13002.610035341038,equal,0.9999748,0.022814166250270773,0.02120682917551311,0.5538579604578564,0.0006237418254784188,0.0008259318653984771
img_402.jpg,phase4_4,92.2177,1.0,0.0,-0.0,11841.633799478423,11840.98428310061,less detectable by 0.649516377812688,13771.577220778676,13771.937314201768,more detectable by 0.3600934230926214,13002.610035341038,13003.687606895903,more detectable by 1.0775715548643348,0.9999748,0.02273536267568943,0.021203483616494292,0.5538475546305931,0.0006238780091023521,0.0008268787786693821
img_402.jpg,phase4_5,93.4994,1.0,0.0,0.0,11841.633799478423,11840.897698276869,less detectable by 0.736101201553538,13771.577220778676,13770.657724607976,less detectable by 0.9194961706998583,13002.610035341038,13002.057627623413,less detectable by 0.5524077176251012,0.9999748,0.02285862242229797,0.021208334667863905,0.5538267429760666,0.0006243115685137801,0.0008262924132846905
img_403.jpg,phase1,104.503,1.0,0.0,-0.0,421371.74755836924,421371.9414452592,more detectable by 0.1938868899596855,430637.35100921476,430637.5358111976,more detectable by 0.18480198283214122,333938.20168217225,333938.4574497029,more detectable by 0.2557675306452438,0.9999457,0.03194781410387648,0.030704228359365936,0.40148633333333333,0.0022912750922046143,0.004707349203002753
img_403.jpg,phase2,94.113,1.0,0.0,0.0001,421371.74755836924,420711.5000253764,less detectable by 660.2475329928566,430637.35100921476,430042.3099801531,less detectable by 595.0410290616564,333938.20168217225,333233.7961949989,less detectable by 704.4054871733533,0.9999457,0.03195312112334747,0.030768653238683056,0.4014938333333333,0.0022946869317970187,0.00471788812228402
img_403.jpg,phase3,104.1999,1.0,0.0,0.0,421371.74755836924,421372.06321287807,more detectable by 0.31565450882771984,430637.35100921476,430627.29017545073,less detectable by 10.060833764029667,333938.20168217225,333934.4926602347,less detectable by 3.7090219375677407,0.9999457,0.03194504139518273,0.03070497181881326,0.4014895,0.002291315074415934,0.004707507490666618
img_403.jpg,phase4_1,104.1514,1.0,0.0,0.0,421371.74755836924,421371.288446253,less detectable by 0.45911211625207216,430637.35100921476,430636.9568324329,less detectable by 0.3941767818760127,333938.20168217225,333938.089907852,less detectable by 0.11177432024851441,0.9999457,0.03194762255515471,0.030704288533921844,0.4014835,0.0022913140629925444,0.004707459235636868
img_403.jpg,phase4_2,100.9987,1.0,0.0,0.0,421371.74755836924,421369.1929433583,less detectable by 2.5546150109148584,430637.35100921476,430619.5336628014,less detectable by 17.817346413386986,333938.20168217225,333888.19656852586,less detectable by 50.005113646388054,0.9999457,0.03194696941870134,0.030704516537990993,0.40148816666666665,0.0022914317634024073,0.0047078289535291695
img_403.jpg,phase4_3,101.0931,1.0,0.0,0.0,421371.74755836924,421366.96923089505,less detectable by 4.778327474195976,430637.35100921476,430616.9001469198,less detectable by 20.450862294936087,333938.20168217225,333938.20168217225,equal,0.9999457,0.031949092114835764,0.030704643672599292,0.4014895,0.0022913058456124347,0.00470750281308252
img_403.jpg,phase4_4,101.2883,1.0,0.0,0.0,421371.74755836924,421371.83869974164,more detectable by 0.0911413723952137,430637.35100921476,430636.83708092995,less detectable by 0.5139282848103903,333938.20168217225,333938.04820706137,less detectable by 0.15347511088475585,0.9999457,0.03194966361803786,0.030704244877765532,0.40148416666666664,0.002291283662207322,0.004707436979620727
img_403.jpg,phase4_5,102.0503,1.0,0.0,-0.0,421371.74755836924,421372.11895213276,more detectable by 0.37139376351842657,430637.35100921476,430637.40932257136,more detectable by 0.058313356596045196,333938.20168217225,333938.30880338216,more detectable by 0.10712120990501717,0.9999457,0.03195169212022009,0.03070426367230189,0.401485,0.0022913103212280905,0.00470742122510126
img_404.jpg,phase1,105.6933,1.0,0.0,0.0,256464.69889515627,256459.22464674967,less detectable by 5.474248406593688,140833.82598139308,140832.05816620294,less detectable by 1.76781519013457,115671.48523853785,115672.19308570233,more detectable by 0.707847164478153,0.999967,-0.1300884411024441,0.018349895626760773,0.2766296251385809,0.0008392313293356102,0.00016166340625178854
img_404.jpg,phase2,96.4141,1.0,0.0,0.0,256464.69889515627,256389.74010603197,less detectable by 74.95878912429907,140833.82598139308,140842.95225825242,more detectable by 9.126276859344216,115671.48523853785,115676.12003610645,more detectable by 4.63479756860761,0.9999671,-0.13008918413147796,0.01834993239360815,0.2766374203159645,0.0008391794833928767,0.0001615574409739029
img_404.jpg,phase3,105.0752,1.0,0.0,0.0,256464.69889515627,256464.9483283889,more detectable by 0.24943323264596984,140833.82598139308,140829.06745129134,less detectable by 4.75853010173887,115671.48523853785,115671.19940010265,less detectable by 0.28583843520027585,0.999967,-0.13009256883919562,0.018349886591694033,0.2766345744575546,0.0008392245726476788,0.00016163999504281712
img_404.jpg,phase4_1,105.6933,1.0,0.0,-0.0,256464.69889515627,256464.94319476018,more detectable by 0.24429960391717032,140833.82598139308,140834.3182108405,more detectable by 0.49222944740904495,115671.48523853785,115671.7429420181,more detectable by 0.2577034802525304,0.9999671,-0.1300902171088083,0.018349941988527185,0.2766278928769401,0.000839218992537305,0.00016165777688237348
img_404.jpg,phase4_2,102.2459,1.0,0.0,0.0,256464.69889515627,256430.88771276272,less detectable by 33.811182393546915,140833.82598139308,140830.9463963113,less detectable by 2.879585081769619,115671.48523853785,115671.0413752026,less detectable by 0.44386333524016663,0.999967,-0.1300876464162002,0.018349867410804944,0.2766295014056066,0.0008392500956530546,0.0001616814618381479
img_404.jpg,phase4_3,102.4347,1.0,0.0,0.0,256464.69889515627,256418.82356071638,less detectable by 45.8753344398865,140833.82598139308,140832.73088793692,less detectable by 1.0950934561551549,115671.48523853785,115671.48523853785,equal,0.999967,-0.1300901302400277,0.018349894495421917,0.2766309862012987,0.0008392465952961892,0.00016165511089982765
