Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_351.jpg,phase1,102.7234,1.0,0.0,-0.0,155408.59433307635,155409.0559029173,more detectable by 0.46156984093249775,209153.53748619257,209152.64102502467,less detectable by 0.8964611678966321,153102.35904828485,153101.737079978,less detectable by 0.621968306862982,0.999934,-0.1213766253327826,0.05966913998463713,0.2858988663178414,0.004309929968038251,0.024509651236105157
img_351.jpg,phase2,94.2665,1.0,0.0,0.0,155408.59433307635,155407.41626548834,less detectable by 1.1780675880145282,209153.53748619257,209151.94909834364,less detectable by 1.5883878489257768,153102.35904828485,153101.82066248986,less detectable by 0.5383857949927915,0.999934,-0.12137352697282822,0.05966942992935918,0.2859149970824356,0.004309841138042447,0.024509404101877408
img_351.jpg,phase3,102.7654,1.0,0.0,-0.0,155408.59433307635,155414.689710367,more detectable by 6.095377290650504,209153.53748619257,209153.4540406657,less detectable by 0.08344552686321549,153102.35904828485,153104.03530964936,more detectable by 1.676261364511447,0.9999339,-0.12137666480520437,0.05966915095099373,0.2859071821778496,0.004310077767616161,0.02450999659317077
img_351.jpg,phase4_1,103.9728,1.0,0.0,-0.0,155408.59433307635,155404.00361887243,less detectable by 4.5907142039213795,209153.53748619257,209154.19732396075,more detectable by 0.6598377681802958,153102.35904828485,153102.66776258306,more detectable by 0.30871429821127094,0.999934,-0.12138591250440456,0.05966903461695672,0.28590076994844565,0.004309962555027358,0.024509375933169153
img_351.jpg,phase4_2,100.5384,1.0,0.0,-0.0,155408.59433307635,155407.8194977115,less detectable by 0.774835364863975,209153.53748619257,209153.17229299134,less detectable by 0.36519320122897625,153102.35904828485,153103.11792260213,more detectable by 0.7588743172818795,0.999934,-0.12137654168402534,0.059669308978290654,0.285901070521699,0.004309972551095331,0.0245097593540482
img_351.jpg,phase4_3,100.7986,1.0,0.0,0.0,155408.59433307635,155406.9100657519,less detectable by 1.6842673244536854,209153.53748619257,209152.17278363186,less detectable by 1.364702560706064,153102.35904828485,153102.35904828485,equal,0.9999341,-0.12137670268844758,0.05966918707503008,0.28590046937519237,0.004310061346678218,0.024509990433902118
img_351.jpg,phase4_4,100.0607,1.0,0.0,-0.0,155408.59433307635,155405.1584581625,less detectable by 3.435874913848238,209153.53748619257,209152.73974407688,less detectable by 0.7977421156829223,153102.35904828485,153104.62897814423,more detectable by 2.269929859379772,0.9999341,-0.12138635444946289,0.05966898958929401,0.28590036918410794,0.004310085214304316,0.024510016864006445
img_351.jpg,phase4_5,101.3101,1.0,0.0,0.0,155408.59433307635,155401.2035844028,less detectable by 7.390748673555208,209153.53748619257,209153.17173515566,less detectable by 0.36575103690847754,153102.35904828485,153102.46986220384,more detectable by 0.11081391898915172,0.999934,-0.12137737349600641,0.05966921499109385,0.2858957603942239,0.004310005148868257,0.02450984036249082
img_352.jpg,phase1,88.7693,1.0,0.0001,0.0,541.8810614259224,542.0364620939953,more detectable by 0.15540066807284347,2394.6700218393207,2395.2307349929065,more detectable by 0.5607131535857661,4855.158099058837,4850.494828527206,less detectable by 4.663270531631497,0.9999237,-0.09386250978358035,0.019804640232655178,0.7145729206715365,0.0024246847329738586,0.008040842023693706
img_352.jpg,phase2,80.0217,1.0,0.0006,0.0,541.8810614259224,541.1197572347496,less detectable by 0.761304191172826,2394.6700218393207,2394.1886880225597,less detectable by 0.48133381676097997,4855.158099058837,4848.817260084079,less detectable by 6.340838974758299,0.9999236,-0.09361687619327341,0.019793039262754584,0.7148105429535648,0.002419412868744142,0.008058517616694516
