Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_161.jpg,phase1,88.8653,1.0,0.0001,0.0,2808.199353205345,2807.5719090993266,less detectable by 0.6274441060181744,963.4080800294794,958.431575429397,less detectable by 4.976504600082421,2369.262666088273,2364.8590385477896,less detectable by 4.403627540483285,0.9999582,0.11529728154790497,0.043903251268885564,0.5968349638947124,0.0030112167253890654,0.008959216246969604
img_161.jpg,phase2,79.4239,1.0,0.0007,0.0,2808.199353205345,2808.5721626094805,more detectable by 0.3728094041357508,963.4080800294794,959.6434741463526,less detectable by 3.764605883126819,2369.262666088273,2361.085183628419,less detectable by 8.177482459853763,0.99995834,0.11574648371630936,0.04390410692001168,0.5972571628232005,0.003006327780078255,0.008962801123221453
img_161.jpg,phase3,88.5292,1.0,0.0001,0.0,2808.199353205345,2807.5332440860157,less detectable by 0.6661091193291213,963.4080800294794,964.6300458661225,more detectable by 1.2219658366431077,2369.262666088273,2365.6710141744843,less detectable by 3.59165191378861,0.9999581,0.11527500675674673,0.043906635963482696,0.5968669927789425,0.003007833091387968,0.008951479635010529
img_161.jpg,phase4_1,88.4833,1.0,0.0001,0.0,2808.199353205345,2808.9898901366964,more detectable by 0.790536931351653,963.4080800294794,963.1952172960978,less detectable by 0.21286273338159845,2369.262666088273,2369.3556903667277,more detectable by 0.09302427845477723,0.9999581,0.11461297415219462,0.04390684110657648,0.5967388772420219,0.003010324695726374,0.008952260887250763
img_161.jpg,phase4_2,85.5654,1.0,0.0002,0.0,2808.199353205345,2807.9888561155763,less detectable by 0.21049708976852344,963.4080800294794,960.3013988251449,less detectable by 3.10668120433445,2369.262666088273,2365.8748394725644,less detectable by 3.387826615708491,0.9999581,0.11550354832954923,0.04390470278996622,0.5969106685301654,0.0030073350235159113,0.008954172143706973
img_161.jpg,phase4_3,85.338,1.0,0.0002,0.0,2808.199353205345,2807.8294799083164,less detectable by 0.3698732970283345,963.4080800294794,961.9190766205786,less detectable by 1.4890034089007713,2369.262666088273,2369.262666088273,equal,0.9999581,0.11539878099376999,0.04390341759635631,0.5968990216631727,0.003007997907034432,0.008954718569801123
img_161.jpg,phase4_4,85.6598,1.0,0.0002,-0.0,2808.199353205345,2808.6448265568692,more detectable by 0.44547335152446976,963.4080800294794,965.6665796703376,more detectable by 2.25849964085819,2369.262666088273,2369.613640242552,more detectable by 0.35097415427890155,0.999958,0.11546322600845649,0.04390258036870276,0.596890286512928,0.0030102590256153583,0.008957155033242348
img_161.jpg,phase4_5,87.1211,1.0,0.0001,-0.0,2808.199353205345,2809.409887642714,more detectable by 1.210534437369006,963.4080800294794,965.6949818902887,more detectable by 2.28690186080928,2369.262666088273,2370.4453358808814,more detectable by 1.1826697926085217,0.9999582,0.11533801364613794,0.04389904706369166,0.5968553459119497,0.0030086966428433115,0.008951764389841799
