Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
image_1.jpg,phase1,105.8773,1.0,0.0,0.0,7068998.722065477,7068891.210417594,less detectable by 107.51164788287133,3929079.8412594763,3929001.058553874,less detectable by 78.78270560223609,6747645.902741627,6747543.574799455,less detectable by 102.32794217206538
image_1.jpg,phase2,97.8203,1.0,0.0,0.0,7068998.722065477,7068644.632240639,less detectable by 354.0898248376325,3929079.8412594763,3928773.131834014,less detectable by 306.70942546240985,6747645.902741627,6747204.50620563,less detectable by 441.396535997279
image_1.jpg,phase3,105.4352,1.0,0.0,0.0,7068998.722065477,7068973.790209149,less detectable by 24.931856327690184,3929079.8412594763,3929032.9581472743,less detectable by 46.88311220193282,6747645.902741627,6747610.220816253,less detectable by 35.68192537408322
image_1.jpg,phase4_1,105.9819,1.0,0.0,0.0,7068998.722065477,7068998.572671678,less detectable by 0.14939379878342152,3929079.8412594763,3929080.100339661,more detectable by 0.25908018462359905,6747645.902741627,6747645.081047566,less detectable by 0.8216940611600876
image_1.jpg,phase4_2,102.867,1.0,0.0,0.0,7068998.722065477,7068819.53654958,less detectable by 179.1855158964172,3929079.8412594763,3928930.717610458,less detectable by 149.123649018351,6747645.902741627,6747390.084646581,less detectable by 255.81809504609555
image_1.jpg,phase4_3,102.867,1.0,0.0,0.0,7068998.722065477,7068697.6920092935,less detectable by 301.0300561832264,3929079.8412594763,3928843.495833764,less detectable by 236.34542571241036,6747645.902741627,6747645.902741627,equal
image_1.jpg,phase4_4,102.3325,1.0,0.0,0.0,7068998.722065477,7068995.1786802625,less detectable by 3.5433852141723037,3929079.8412594763,3929080.9741974627,more detectable by 1.1329379864037037,6747645.902741627,6747640.3533489695,less detectable by 5.549392657354474
image_10.jpg,phase1,105.2132,1.0,0.0,0.0,3251904.628669594,3251902.6240228806,less detectable by 2.0046467133797705,2295831.2850173404,2295831.0997318616,less detectable by 0.18528547883033752,3010028.4159377017,3010028.130622479,less detectable by 0.2853152225725353
image_10.jpg,phase2,96.4385,1.0,0.0,-0.0,3251904.628669594,3251905.702078835,more detectable by 1.0734092411585152,2295831.2850173404,2295829.373861583,less detectable by 1.9111557574942708,3010028.4159377017,3010022.9803961925,less detectable by 5.435541509184986
image_10.jpg,phase3,104.6616,1.0,0.0,0.0,3251904.628669594,3251889.2924221363,less detectable by 15.33624745765701,2295831.2850173404,2295794.604883654,less detectable by 36.68013368640095,3010028.4159377017,3010011.163754454,less detectable by 17.252183247823268
image_10.jpg,phase4_1,104.9075,1.0,0.0,-0.0,3251904.628669594,3251904.8811606443,more detectable by 0.2524910503998399,2295831.2850173404,2295831.053990296,less detectable by 0.2310270443558693,3010028.4159377017,3010028.4802604164,more detectable by 0.06432271469384432
