Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_165.jpg,phase1,100.5667,1.0,0.0,0.0,1812574.9667834593,1812562.4492731576,less detectable by 12.517510301666334,1663905.287208173,1663893.1083722934,less detectable by 12.178835879545659,1671273.6797558076,1671260.7418168755,less detectable by 12.937938932096586,0.99999213,0.02377492305422635,0.015108497598324257,0.4010811170212766,0.0009585710716388737,0.00020212460136392885
img_165.jpg,phase2,92.1157,1.0,0.0,0.0,1812574.9667834593,1812485.1409340804,less detectable by 89.82584937894717,1663905.287208173,1663819.5516630125,less detectable by 85.7355451604817,1671273.6797558076,1671194.6136690485,less detectable by 79.06608675909229,0.9999922,0.023777131074396607,0.015113032841303973,0.4010831117021277,0.0009584570986899896,0.0002020858769604672
img_165.jpg,phase3,100.6951,1.0,0.0,0.0,1812574.9667834593,1812517.435290959,less detectable by 57.531492500333115,1663905.287208173,1663872.3702852693,less detectable by 32.91692290361971,1671273.6797558076,1671243.2310124568,less detectable by 30.448743350803852,0.9999922,0.023777476053496116,0.01511495375210461,0.40110738031914894,0.0009585744133247878,0.000202138844142441
img_165.jpg,phase4_1,101.2012,1.0,0.0,-0.0,1812574.9667834593,1812577.276742957,more detectable by 2.309959497768432,1663905.287208173,1663904.97645436,less detectable by 0.3107538130134344,1671273.6797558076,1671273.3728257963,less detectable by 0.3069300113711506,0.9999921,0.023775936517097307,0.01511047440357584,0.4010804521276596,0.0009586339637113264,0.00020214773964633004
img_165.jpg,phase4_2,97.8171,1.0,0.0,-0.0,1812574.9667834593,1812579.5667766482,more detectable by 4.599993188865483,1663905.287208173,1663910.6305393192,more detectable by 5.3433311462868005,1671273.6797558076,1671279.9845573315,more detectable by 6.304801523918286,0.9999921,0.023775132983644198,0.015109013298274519,0.40108494015957447,0.0009585811302139299,0.00020213010176273194
img_165.jpg,phase4_3,97.8171,1.0,0.0,0.0,1812574.9667834593,1812584.1993659316,more detectable by 9.232582472264767,1663905.287208173,1663913.3056494514,more detectable by 8.018441278487444,1671273.6797558076,1671273.6797558076,equal,0.9999921,0.023775132983644198,0.015109013298274519,0.40108494015957447,0.0009585811302139299,0.00020213010176273194
img_165.jpg,phase4_4,98.2896,1.0,0.0,0.0,1812574.9667834593,1812575.6690707547,more detectable by 0.7022872953675687,1663905.287208173,1663905.668030634,more detectable by 0.38082246109843254,1671273.6797558076,1671273.1912798423,less detectable by 0.48847596533596516,0.9999922,0.023742134264985282,0.015109683817373872,0.4010841090425532,0.0009586448563165921,0.00020213311221839447
img_165.jpg,phase4_5,99.2338,1.0,0.0,-0.0,1812574.9667834593,1812576.7568702344,more detectable by 1.7900867750868201,1663905.287208173,1663906.2537230216,more detectable by 0.9665148486383259,1671273.6797558076,1671272.2493818938,less detectable by 1.430373913841322,0.9999921,0.02377479754968448,0.015109489589880459,0.40108178191489363,0.0009586058134267404,0.00020213783302303057
img_166.jpg,phase1,103.7556,1.0,0.0,0.0,61896.59358013045,61896.489819828916,less detectable by 0.10376030153565807,45253.292529743405,45253.18862181402,less detectable by 0.10390792938414961,45172.47733214188,45172.38571937037,less detectable by 0.09161277150997194,0.999963,0.08768650121425026,0.019290948322201316,0.4975916067123217,0.001305421416412933,0.0010292543481940086
img_166.jpg,phase2,94.4614,1.0,0.0,0.0,61896.59358013045,61894.50529245151,less detectable by 2.0882876789401053,45253.292529743405,45259.16301869924,more detectable by 5.870488955835754,45172.47733214188,45169.50177491054,less detectable by 2.9755572313442826,0.999963,0.08769009610494827,0.01929106323506987,0.4975972174130502,0.001305185701314937,0.0010289074984357605
img_166.jpg,phase3,103.4489,1.0,0.0,0.0,61896.59358013045,61896.54914684176,less detectable by 0.04443328869092511,45253.292529743405,45253.42420297334,more detectable by 0.13167322993831476,45172.47733214188,45170.97464694389,less detectable by 1.5026851979928324,0.999963,0.08768708344974918,0.019290895469857943,0.49759521359136144,0.0013054183273226994,0.0010292769800939183
img_166.jpg,phase4_1,103.9728,1.0,0.0,0.0,61896.59358013045,61896.5031572267,less detectable by 0.09042290374782169,45253.292529743405,45253.05836446369,less detectable by 0.23416527971130563,45172.47733214188,45172.169875243155,less detectable by 0.3074568987285602,0.999963,0.08768582634986899,0.019290973926185118,0.4975906048014774,0.0013054132667800478,0.0010292444059052386
img_166.jpg,phase4_2,100.293,1.0,0.0,0.0,61896.59358013045,61896.27761854594,less detectable by 0.315961584514298,45253.292529743405,45253.34959002256,more detectable by 0.05706027915584855,45172.47733214188,45172.877658976824,more detectable by 0.4003268349406426,0.999963,0.0876868143868581,0.01929108300123222,0.4975916067123217,0.001305419098899141,0.0010292763754766732
img_166.jpg,phase4_3,100.293,1.0,0.0,0.0,61896.59358013045,61896.63931377792,more detectable by 0.04573364747193409,45253.292529743405,45253.59043306313,more detectable by 0.29790331972617423,45172.47733214188,45172.47733214188,equal,0.999963,0.08768619685847234,0.01929102368925194,0.49759140633015286,0.001305445731038135,0.0010292383632393154
img_166.jpg,phase4_4,100.6406,1.0,0.0,0.0,61896.59358013045,61896.38132556064,less detectable by 0.21225456981483148,45253.292529743405,45253.31440482954,more detectable by 0.021875086138607003,45172.47733214188,45172.313506458726,less detectable by 0.16382568315748358,0.999963,0.08768848169652266,0.01929101732126553,0.4975924082409972,0.0013054262303103248,0.0010292707800263479
