Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
img_17.jpg,phase2,88.7575,1.0,0.0001,0.0,190957.75342979326,190929.42222722108,less detectable by 28.33120257218252,216466.6436357234,216470.53486983487,more detectable by 3.891234111477388,178692.087706068,178690.32299542497,less detectable by 1.764710643037688
img_17.jpg,phase3,97.5142,1.0,0.0,0.0,190957.75342979326,190948.0324425868,less detectable by 9.720987206470454,216466.6436357234,216455.81396937705,less detectable by 10.829666346340673,178692.087706068,178682.64954152322,less detectable by 9.43816454478656
img_17.jpg,phase4_1,97.9417,1.0,0.0,0.0,190957.75342979326,190957.54775733288,less detectable by 0.2056724603753537,216466.6436357234,216466.688817056,more detectable by 0.04518133262172341,178692.087706068,178692.22305748856,more detectable by 0.1353514205547981
img_17.jpg,phase4_2,94.3266,1.0,0.0,0.0,190957.75342979326,190913.35349501437,less detectable by 44.3999347788922,216466.6436357234,216466.7763810152,more detectable by 0.1327452918048948,178692.087706068,178691.77780227072,less detectable by 0.30990379728609696
img_17.jpg,phase4_3,94.1982,1.0,0.0,0.0,190957.75342979326,190894.04389826953,less detectable by 63.709531523723854,216466.6436357234,216465.95716526313,less detectable by 0.6864704602630809,178692.087706068,178692.087706068,equal
img_17.jpg,phase4_4,94.2834,1.0,0.0,0.0,190957.75342979326,190954.46221285794,less detectable by 3.2912169353221543,216466.6436357234,216465.95677323086,less detectable by 0.6868624925264157,178692.087706068,178691.8929739658,less detectable by 0.1947321022162214
img_18.jpg,phase1,97.5307,1.0,0.0,0.0,360873.36585396045,360863.89241112914,less detectable by 9.473442831309512,321813.91879103374,321808.5539583492,less detectable by 5.364832684514113,353758.8817785828,353753.8247149914,less detectable by 5.057063591433689
img_18.jpg,phase2,88.7889,1.0,0.0001,-0.0,360873.36585396045,360899.1669576101,more detectable by 25.801103649660945,321813.91879103374,321814.3009259318,more detectable by 0.38213489804184064,353758.8817785828,353759.40801937244,more detectable by 0.5262407896225341
img_18.jpg,phase3,97.8966,1.0,0.0,0.0,360873.36585396045,360861.672239171,less detectable by 11.693614789459389,321813.91879103374,321801.7291387369,less detectable by 12.1896522968309,353758.8817785828,353745.0200200458,less detectable by 13.861758537008427
img_18.jpg,phase4_1,97.7558,1.0,0.0,-0.0,360873.36585396045,360873.92618546373,more detectable by 0.5603315032785758,321813.91879103374,321814.29214729846,more detectable by 0.37335626472486183,353758.8817785828,353758.96810358536,more detectable by 0.08632500254316255
img_18.jpg,phase4_2,94.654,1.0,0.0,0.0,360873.36585396045,360866.52763658063,less detectable by 6.838217379816342,321813.91879103374,321801.4250022318,less detectable by 12.49378880194854,353758.8817785828,353761.56726068334,more detectable by 2.6854821005254053
img_18.jpg,phase4_3,95.3919,1.0,0.0,-0.0,360873.36585396045,360866.88273640926,less detectable by 6.483117551193573,321813.91879103374,321792.6579346752,less detectable by 21.260856358509045,353758.8817785828,353758.8817785828,equal
img_18.jpg,phase4_4,95.286,1.0,0.0,-0.0,360873.36585396045,360874.7296475732,more detectable by 1.3637936127488501,321813.91879103374,321814.6227882712,more detectable by 0.7039972374914214,353758.8817785828,353758.8145262474,less detectable by 0.06725233542965725
img_2.jpg,phase1,93.8846,1.0,0.0,-0.0,6469.389617568093,6468.701264109188,less detectable by 0.6883534589051123,3713.943209476108,3713.781855494091,less detectable by 0.16135398201731732,1129.9197332526032,1129.8602929234808,less detectable by 0.05944032912248076
img_2.jpg,phase2,85.1934,1.0,0.0002,-0.0,6469.389617568093,6486.6121140110645,more detectable by 17.222496442971533,3713.943209476108,3720.2360298302942,more detectable by 6.292820354186006,1129.9197332526032,1124.2203510313354,less detectable by 5.699382221267797
img_2.jpg,phase3,94.0196,1.0,0.0,0.0,6469.389617568093,6468.399023582393,less detectable by 0.9905939856998884,3713.943209476108,3711.4961488822773,less detectable by 2.4470605938308836,1129.9197332526032,1129.5394589097866,less detectable by 0.38027434281661954
img_2.jpg,phase4_1,95.0462,1.0,0.0,-0.0,6469.389617568093,6468.523624036061,less detectable by 0.8659935320320074,3713.943209476108,3713.5511354119867,less detectable by 0.39207406412151613,1129.9197332526032,1130.074177502479,more detectable by 0.15444424987572347
img_2.jpg,phase4_2,91.4923,1.0,0.0,-0.0,6469.389617568093,6470.418737800844,more detectable by 1.0291202327507563,3713.943209476108,3714.410350078609,more detectable by 0.4671406025008764,1129.9197332526032,1130.1470988712576,more detectable by 0.22736561865440308
img_2.jpg,phase4_3,91.2441,1.0,0.0,-0.0,6469.389617568093,6468.9397114124085,less detectable by 0.4499061556844026,3713.943209476108,3713.542522916176,less detectable by 0.4006865599321827,1129.9197332526032,1129.9197332526032,equal
img_2.jpg,phase4_4,91.3417,1.0,0.0,-0.0,6469.389617568093,6468.720040943499,less detectable by 0.6695766245939012,3713.943209476108,3713.9792860511448,more detectable by 0.03607657503653172,1129.9197332526032,1131.8936946933284,more detectable by 1.9739614407251338
img_20.jpg,phase1,96.6515,1.0,0.0,0.0,1813.2567598323155,1812.4924948224514,less detectable by 0.7642650098641752,1927.5245273133764,1926.2459638280022,less detectable by 1.2785634853742067,2109.4423171056974,2108.288078168828,less detectable by 1.1542389368692056
img_20.jpg,phase2,86.6155,1.0,0.0001,0.0,1813.2567598323155,1802.684785333778,less detectable by 10.571974498537429,1927.5245273133764,1920.5088264001724,less detectable by 7.015700913204,2109.4423171056974,2098.9632759909573,less detectable by 10.479041114740085
img_20.jpg,phase3,95.9307,1.0,0.0,0.0,1813.2567598323155,1812.2337871423379,less detectable by 1.0229726899776779,1927.5245273133764,1927.3605367805148,less detectable by 0.1639905328615896,2109.4423171056974,2109.8034449560264,more detectable by 0.3611278503290123
img_20.jpg,phase4_1,95.2249,1.0,0.0,-0.0,1813.2567598323155,1813.2677599678375,more detectable by 0.01100013552195378,1927.5245273133764,1927.0470868974364,less detectable by 0.4774404159400092,2109.4423171056974,2110.298836160753,more detectable by 0.8565190550557418
img_20.jpg,phase4_2,92.5767,1.0,0.0,-0.0,1813.2567598323155,1811.8048024231705,less detectable by 1.4519574091450522,1927.5245273133764,1928.31729251459,more detectable by 0.7927652012135695,2109.4423171056974,2110.9990817961375,more detectable by 1.5567646904401045
img_20.jpg,phase4_3,92.3023,1.0,0.0,0.0,1813.2567598323155,1812.5292815029982,less detectable by 0.7274783293173641,1927.5245273133764,1926.4898549938614,less detectable by 1.034672319515039,2109.4423171056974,2109.4423171056974,equal
img_20.jpg,phase4_4,92.2582,1.0,0.0,0.0,1813.2567598323155,1813.0213648383897,less detectable by 0.2353949939258655,1927.5245273133764,1927.719952219636,more detectable by 0.19542490625963183,2109.4423171056974,2109.081949144204,less detectable by 0.3603679614934663
img_21.jpg,phase1,89.2879,1.0,0.0001,0.0,2591.6610005226757,2591.3852050568858,less detectable by 0.27579546578999725,1453.3531058660647,1453.7236208157294,more detectable by 0.3705149496647664,1120.957795071064,1121.1609968014193,more detectable by 0.20320173035520384
img_21.jpg,phase2,80.5137,1.0,0.0006,0.0,2591.6610005226757,2590.7458612399573,less detectable by 0.9151392827184281,1453.3531058660647,1451.8134898932992,less detectable by 1.5396159727654322,1120.957795071064,1119.1877414243238,less detectable by 1.7700536467402799
img_21.jpg,phase3,89.2879,1.0,0.0001,0.0,2591.6610005226757,2589.6780185082193,less detectable by 1.982982014456411,1453.3531058660647,1452.767986219986,less detectable by 0.5851196460787378,1120.957795071064,1119.6631223866311,less detectable by 1.2946726844329532
img_21.jpg,phase4_1,89.4689,1.0,0.0001,0.0,2591.6610005226757,2591.820844236991,more detectable by 0.1598437143152296,1453.3531058660647,1451.6567449432996,less detectable by 1.6963609227650522,1120.957795071064,1119.9757697631294,less detectable by 0.9820253079346912
img_21.jpg,phase4_2,86.8957,1.0,0.0001,0.0,2591.6610005226757,2585.544089864408,less detectable by 6.116910658267898,1453.3531058660647,1454.0231867069208,more detectable by 0.6700808408561443,1120.957795071064,1121.0343185673341,more detectable by 0.07652349627005606
img_21.jpg,phase4_3,86.6475,1.0,0.0001,0.0,2591.6610005226757,2587.2539059423275,less detectable by 4.407094580348257,1453.3531058660647,1454.1580487088513,more detectable by 0.8049428427866587,1120.957795071064,1120.957795071064,equal
img_21.jpg,phase4_4,86.7947,1.0,0.0001,0.0,2591.6610005226757,2587.80751690497,less detectable by 3.8534836177059333,1453.3531058660647,1449.0286512268942,less detectable by 4.324454639170426,1120.957795071064,1111.6794387818456,less detectable by 9.278356289218436
img_22.jpg,phase1,99.6868,1.0,0.0,-0.0,31927.581166344815,31927.88775887741,more detectable by 0.3065925325936405,13110.778070823424,13110.194467349567,less detectable by 0.5836034738567832,10273.59676678272,10273.811805485417,more detectable by 0.21503870269589243
img_22.jpg,phase2,90.9743,1.0,0.0001,-0.0,31927.581166344815,31931.06506391588,more detectable by 3.4838975710663362,13110.778070823424,13113.861804280295,more detectable by 3.083733456871414,10273.59676678272,10276.269576889039,more detectable by 2.6728101063181384
img_22.jpg,phase3,100.5583,1.0,0.0,-0.0,31927.581166344815,31928.63823299986,more detectable by 1.057066655044764,13110.778070823424,13111.50948183718,more detectable by 0.73141101375586,10273.59676678272,10273.910611407677,more detectable by 0.31384462495589105
img_22.jpg,phase4_1,100.1007,1.0,0.0,-0.0,31927.581166344815,31927.56270100943,less detectable by 0.018465335386281367,13110.778070823424,13109.42251658356,less detectable by 1.355554239864432,10273.59676678272,10274.021100484106,more detectable by 0.42433370138496684
img_22.jpg,phase4_2,97.0904,1.0,0.0,-0.0,31927.581166344815,31927.80500858418,more detectable by 0.2238422393638757,13110.778070823424,13110.749657099943,less detectable by 0.028413723481207853,10273.59676678272,10274.065825354548,more detectable by 0.46905857182719046
img_22.jpg,phase4_3,96.9015,1.0,0.0,-0.0,31927.581166344815,31927.856321364994,more detectable by 0.275155020179227,13110.778070823424,13110.622588051789,less detectable by 0.1554827716354339,10273.59676678272,10273.59676678272,equal
img_22.jpg,phase4_4,96.7206,1.0,0.0,-0.0,31927.581166344815,31927.992253064574,more detectable by 0.4110867197596235,13110.778070823424,13110.129573646449,less detectable by 0.64849717697507,10273.59676678272,10274.227453315467,more detectable by 0.63068653274604
img_23.jpg,phase1,102.2898,1.0,0.0,-0.0,573939.6887347971,573939.8622854038,more detectable by 0.17355060670524836,510686.61480597674,510686.43088535994,less detectable by 0.18392061680788174,581686.9717897004,581687.2623217552,more detectable by 0.29053205472882837
img_23.jpg,phase2,93.1655,1.0,0.0,-0.0,573939.6887347971,573944.512772865,more detectable by 4.8240380679490045,510686.61480597674,510688.4133475234,more detectable by 1.7985415466828272,581686.9717897004,581687.6046226639,more detectable by 0.6328329634852707
img_23.jpg,phase3,102.8428,1.0,0.0,0.0,573939.6887347971,573920.5690734207,less detectable by 19.119661376345903,510686.61480597674,510683.1592479163,less detectable by 3.4555580604355782,581686.9717897004,581670.5333685635,less detectable by 16.438421136932448
img_23.jpg,phase4_1,102.6848,1.0,0.0,-0.0,573939.6887347971,573940.0498756135,more detectable by 0.36114081647247076,510686.61480597674,510686.13985559973,less detectable by 0.47495037701446563,581686.9717897004,581686.6599020141,less detectable by 0.31188768637366593
img_23.jpg,phase4_2,99.1401,1.0,0.0,-0.0,573939.6887347971,573940.0259863338,more detectable by 0.3372515367809683,510686.61480597674,510686.84521249076,more detectable by 0.23040651401970536,581686.9717897004,581687.3149380826,more detectable by 0.3431483821477741
