Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect,NCC,Noise Diff,Histogram Dist,Edge Diff,Skewness Diff,Kurtosis Diff
img_154.jpg,phase1,103.6338,1.0,0.0,0.0,1713934.8923835007,1713933.8567193274,less detectable by 1.03566417330876,60296.92119761576,60296.221498803054,less detectable by 0.6996988127066288,62086.246602759704,62086.12377584851,less detectable by 0.12282691119617084,0.999951,0.0415822775185859,0.05533439175164031,0.37892443872213727,0.002671812710780319,0.005549187970309344
img_154.jpg,phase2,95.2006,1.0,0.0,0.0,1713934.8923835007,1713938.199831053,more detectable by 3.307447552215308,60296.92119761576,60289.48997802127,less detectable by 7.431219594487629,62086.246602759704,62086.514175650096,more detectable by 0.26757289039233,0.9999511,0.04159374760327239,0.05533489201070495,0.3789414178804217,0.0026710063528747607,0.005548137510077211
img_154.jpg,phase3,103.8893,1.0,0.0,0.0,1713934.8923835007,1713923.8162225895,less detectable by 11.076160911237821,60296.92119761576,60297.802182172796,more detectable by 0.8809845570358448,62086.246602759704,62085.22719498321,less detectable by 1.0194077764972462,0.999951,0.04158133229910277,0.05533459994547397,0.3789260481210268,0.002671931831685903,0.005549184806639573
img_154.jpg,phase4_1,103.6338,1.0,0.0,-0.0,1713934.8923835007,1713934.7687013193,less detectable by 0.12368218135088682,60296.92119761576,60296.98110390872,more detectable by 0.0599062929613865,62086.246602759704,62086.863569859284,more detectable by 0.6169670995805063,0.99995106,0.041581737384465356,0.05533441487946547,0.37892347308280355,0.002671944848330776,0.005549410838690427
img_154.jpg,phase4_2,101.3906,1.0,0.0,0.0,1713934.8923835007,1713935.0153631314,more detectable by 0.12297963071614504,60296.92119761576,60295.535950585436,less detectable by 1.3852470303245354,62086.246602759704,62086.38182692413,more detectable by 0.13522416442719987,0.999951,0.04158112978223194,0.05533428574223929,0.3789266918805826,0.002671787170210438,0.005549152251159928
img_154.jpg,phase4_3,101.3906,1.0,0.0,0.0,1713934.8923835007,1713934.913400567,more detectable by 0.021017066203057766,60296.92119761576,60294.43708870676,less detectable by 2.484108908996859,62086.246602759704,62086.246602759704,equal,0.999951,0.04158154611538656,0.055334073160676726,0.37892701376036053,0.0026718047497835684,0.005549171984331469
img_154.jpg,phase4_4,101.3415,1.0,0.0,0.0,1713934.8923835007,1713934.8460337378,less detectable by 0.04634976293891668,60296.92119761576,60294.89382993211,less detectable by 2.0273676836513914,62086.246602759704,62086.140574882666,less detectable by 0.10602787703828653,0.999951,0.04158947151139003,0.055334505582349126,0.37892588718113784,0.002671878105766634,0.00554921793383345
img_154.jpg,phase4_5,102.3844,1.0,0.0,0.0,1713934.8923835007,1713934.7619984767,less detectable by 0.1303850240074098,60296.92119761576,60296.694585415375,less detectable by 0.22661220038571628,62086.246602759704,62086.19299677729,less detectable by 0.053605982415319886,0.999951,0.04158602828777447,0.055334223832181555,0.3789225074434699,0.0026718753017096475,0.005549227359746389
img_155.jpg,phase1,101.8106,1.0,0.0,0.0,269917.0416124263,269906.47934200644,less detectable by 10.562270419846755,28592.509311153775,28592.53378319413,more detectable by 0.024472040353430202,208821.4983857982,208821.53041744657,more detectable by 0.032031648384872824,0.999926,-0.05542098286623265,0.017735047129917286,0.48492360998083045,0.004844356113204551,0.017299919639113703
img_155.jpg,phase2,92.4801,1.0,0.0,0.0,269917.0416124263,269909.9715499259,less detectable by 7.070062500366475,28592.509311153775,28579.59206073376,less detectable by 12.91725042001417,208821.4983857982,208815.91943578073,less detectable by 5.578950017457828,0.999926,-0.05541008227264044,0.01773626579004437,0.48495568169487846,0.004845176825313047,0.017302162428849854
