
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
img_291_phase1.png,false,14986,0.022194181845920237,0.10802608975436755,0.005754764013457053,0.016290603064101697,0.038066409669461634
img_291_phase2.png,false,15651,0.022509270842817217,0.11436300250058998,0.005862303774160908,0.01627436746824077,0.039752236146452215
img_291_phase3.png,false,17075,0.022080186506652756,0.10876494892537421,0.005763989310416543,0.016276945068967603,0.03822151745285278
img_291_phase4_1.png,false,17016,0.021868390638397572,0.10861953428572332,0.005592482625960869,0.016271526747080857,0.038087983574290656
img_291_phase4_2.png,false,14884,0.02213633284864396,0.10701703050052673,0.005779879704947936,0.01629738477255535,0.037807656956668496
img_291_phase4_3.png,false,16925,0.02200192105537623,0.10755118950592052,0.005763138206292758,0.016229446915381456,0.03788642392074274
img_291_phase4_4.png,false,15071,0.022538832828522298,0.10861953428722558,0.005683554728162881,0.016281316183976328,0.03828080950697177
img_291_phase4_5.png,false,15009,0.021887097978452886,0.10861953428563335,0.005663929464288657,0.01633001630728357,0.03812514450891461
img_292_phase1.png,false,785,0.002879389107850073,0.002300511733625285,null,0.0016515880232502538,0.0022771629549085373
img_292_phase2.png,false,968,0.003475378989206416,0.0030645145322169905,null,0.0018802259032958597,0.002806706474906422
img_292_phase3.png,false,969,0.0028325991545546663,0.002201412196126299,null,0.0016226935203214198,0.0022189016236674615
img_292_phase4_1.png,false,944,0.002663609538792251,0.002201412196126299,null,0.0016144900538166353,0.0021598372629117284
img_292_phase4_2.png,false,829,0.00293206406508092,0.0025995693647579868,null,0.0016818366216116243,0.002404490017150177
img_292_phase4_3.png,false,999,0.0027801657725945684,0.0024065688743326215,null,0.001672634306473711,0.0022864563178003005
img_292_phase4_4.png,false,763,0.002832599107662522,0.002201412196126299,null,0.0016088006312172606,0.002214270645002027
img_292_phase4_5.png,false,740,0.0026344857245774738,0.002201412196126299,null,0.0016043523804777848,0.0021467501003938523
img_293_phase1.png,false,892613,0.18210082634840793,2.706915034493765E-4,null,0.1999720024564799,0.12744784010277907
img_293_phase2.png,false,893873,0.18259606049521002,3.139321833169088E-4,null,0.19997363191259254,0.1276278748637065
img_293_phase3.png,false,1001779,0.18220021251889731,2.509492982733157E-4,null,0.19997460916689264,0.12747525699468776
img_293_phase4_1.png,false,1001733,0.18218798460136176,2.509492982733157E-4,null,0.19996876189973709,0.12746923193312407
img_293_phase4_2.png,false,893114,0.18233586191096468,2.419721699366988E-4,null,0.19997921553443,0.1275190165384438
img_293_phase4_3.png,false,1001352,0.18203450121240947,2.524271883330732E-4,null,0.19997598645760623,0.12742097161944957
img_293_phase4_4.png,false,892695,0.18215515712475985,2.509492982733157E-4,null,0.1999731413641959,0.1274597492624097
img_293_phase4_5.png,false,892190,0.18194253918892916,2.509492982733157E-4,null,0.19996925143266503,0.12738757997328917
img_294_phase1.png,false,15915,0.007552578602171293,8.245147632936675E-4,null,0.029602308673376605,0.012659800679613855
img_294_phase2.png,false,16023,0.007637608551863589,8.604147022277034E-4,null,0.029736528605628594,0.012744850619906628
img_294_phase3.png,false,19924,0.007584331991633928,8.099954277478423E-4,null,0.029596738781027535,0.012663688733469769
img_294_phase4_1.png,false,19901,0.0075578174096041445,8.099954277478423E-4,null,0.02958111195255724,0.01264964159663641
img_294_phase4_2.png,false,15945,0.0076001291380093814,8.124738844745451E-4,null,0.029636853013617202,0.01268315201203371
img_294_phase4_3.png,false,19910,0.007557817257695028,8.11131963626162E-4,null,0.029596660290003254,0.012655203170441482
img_294_phase4_4.png,false,15926,0.007600048282076978,8.099954277478423E-4,null,0.029594571717445402,0.012668205142423408
img_294_phase4_5.png,false,15942,0.007652839719806816,8.099954277478423E-4,null,0.029581337458638075,0.012681390868730913
img_295_phase1.png,false,17776,0.005655938750255213,0.003205409992509833,null,0.006607518333083533,0.00515628902528286
img_295_phase2.png,false,18206,0.005670212505770874,0.003533543372604177,null,0.006639367120842716,0.005281040999739255
img_295_phase3.png,false,20790,0.005639668980807042,0.0031769046211071344,null,0.006612484265881214,0.0051430192892651305
