
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
img_431_phase1.png,false,152266,0.16106726905731764,0.0023683601164397115,null,0.06746684734570307,0.07696749217315348
img_431_phase2.png,false,152675,0.16145114067187916,0.002376535807722983,null,0.06768216292205442,0.07716994646721885
img_431_phase3.png,false,176243,0.16098620040307762,0.002186627031760837,null,0.06742967666680197,0.07686750136721347
img_431_phase4_1.png,false,176275,0.16102515207268966,0.002186627031760837,null,0.06743397974106485,0.07688191961517178
img_431_phase4_2.png,false,152612,0.1611223651533332,0.002784395821442517,null,0.06751690203735453,0.07714122100404341
img_431_phase4_3.png,false,176300,0.161000476773827,0.0022252241878041846,null,0.06745039467000899,0.0768920318772134
img_431_phase4_4.png,false,152039,0.16093618607221735,0.002186627031760837,null,0.06743975721527039,0.0768541901064162
img_431_phase4_5.png,false,152125,0.1610710832862228,0.002186627031760837,null,0.06743453274897497,0.07689741435565288
img_433_phase1.png,false,6480,0.03812144784176375,0.014308185273118602,null,0.05073674749744336,0.034388793537441904
img_433_phase2.png,false,6790,0.03903515952160059,0.018052820646859643,null,0.0509908109514967,0.03602626370665231
img_433_phase3.png,false,8164,0.03851147484640969,0.014345274664198967,null,0.050761814116026864,0.03453952120887851
img_433_phase4_1.png,false,8149,0.03822725475369703,0.014411413562601458,null,0.05079733548781103,0.034478667934703174
img_433_phase4_2.png,false,6526,0.038294160479935585,0.014811789664709597,null,0.0507846977023819,0.03463021594900903
img_433_phase4_3.png,false,8162,0.0382969329964593,0.014685969459115343,null,0.050612625577531684,0.03453184267770211
img_433_phase4_4.png,false,6527,0.0387848460169584,0.01429323750603492,null,0.05083594622473005,0.03463800991590779
img_433_phase4_5.png,false,6479,0.037948782998091034,0.014522303076294908,null,0.05069043267887633,0.03438717291775409
img_434_phase1.png,false,16228,0.05098114868674178,0.0018530862441866315,0.019749479653528298,0.029574434333286485,0.025539537229435798
